ROL DE PROCEDIMENTOS,Unnamed: 0,Rol de Procedimentos e Eventos em Saúde,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,01/08/2022,CONSULTA/AVALIAÇÃO COM FISIOTERAPEUTA 541/2022,,Ambulatorial,,REF,,,,,PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,
,,,,,,,,,,ACOMPANHAMENTO DE PACIENTES,,,,
,,,,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU",,,,
,,CONSULTA MÉDICA,,Ambulatorial,,REF,,,,,PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,
,,,,,,,,,,ACOMPANHAMENTO DE PACIENTES,,,,
,,,,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU",,,,
,,CONSULTA ODONTOLÓGICA,Odontológico,,,,,,,,PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,
,,,,,,,,,,ACOMPANHAMENTO DE PACIENTES,,,,
,,,,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU",,,,
,,CONSULTA ODONTOLÓGICA INICIAL,Odontológico,,,,,,,,PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,
,,,,,,,,,,ACOMPANHAMENTO DE PACIENTES,,,,
,,,,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU",,,,
,,CONSULTA ODONTOLÓGICA DE URGÊNCIA,Odontológico,,,,,,,,PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,
,,,,,,,,,,ACOMPANHAMENTO DE PACIENTES,,,,
,,,,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU",,,,
,,CONSULTA ODONTOLÓGICA PARA AVALIAÇÃO TÉCNICA DE AUDITORIA,Odontológico,,,,,,,,PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,
,,,,,,,,,,ACOMPANHAMENTO DE PACIENTES,,,,
,,,,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU",,,,
,01/08/2022,CONSULTA/AVALIAÇÃO COM PSICÓLOGO 541/2022,,Ambulatorial,,REF,,,,,PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,
,,,,,,,,,,ACOMPANHAMENTO DE PACIENTES,,,,
,,Legenda:,,HCO: Seg. Hospitalar Com Obstetrícia,,,,,,,,PAC: Procedimento de Alta Complexidade,,
,,OD: Seg. Odontológica,,HSO: Seg. Hospitalar Sem Obstetrícia,,,,,,,,DUT: Diretriz de Utilização,,
,,AMB: Seg. Ambulatorial,,REF: Plano Referência,,,,,,,,1,,
,,"(RN 465/2021, vigente a partir de 01/04/2021, e suas alterações)",,,,,,,,,,,,
,,RN,,,,,,,,,,,,
,VIGÊNCIA,PROCEDIMENTO,Odontológico,AMB HCO,HSO,REF,PAC,DUT,,SUBGRUPO,GRUPO CAPÍTULO,,,
,,(alteração),,,,,,,,,,,,
,,,,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU",,,,
,01/08/2022,SESSÃO COM PSICÓLOGO 541/2022,,Ambulatorial,,REF,,,,,PROCEDIMENTOS GERAIS PROCEDIMENTOS GERAIS,,,
,,,,,,,,,,ACOMPANHAMENTO DE PACIENTES,,,,
,,,,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU",,,,
,01/08/2022,CONSULTA/AVALIAÇÃO COM FONOAUDIÓLOGO 541/2022,,Ambulatorial,,REF,,,,,PROCEDIMENTOS GERAIS PROCEDIMENTOS GERAIS,,,
,,,,,,,,,,ACOMPANHAMENTO DE PACIENTES,,,,
,,,,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU",,,,
,01/08/2022,SESSÃO COM FONOAUDIÓLOGO 541/2022,,Ambulatorial,,REF,,,,,PROCEDIMENTOS GERAIS PROCEDIMENTOS GERAIS,,,
,,,,,,,,,,ACOMPANHAMENTO DE PACIENTES,,,,
,,,,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU",,,,
,,CONSULTA COM NUTRICIONISTA (COM DIRETRIZ DE UTILIZAÇÃO),,Ambulatorial,,REF,,103,,,PROCEDIMENTOS GERAIS PROCEDIMENTOS GERAIS,,,
,,,,,,,,,,ACOMPANHAMENTO DE PACIENTES,,,,
,,,,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU",,,,
,01/08/2022,CONSULTA/AVALIAÇÃO COM TERAPEUTA OCUPACIONAL 541/2022,,Ambulatorial,,REF,,,,,PROCEDIMENTOS GERAIS PROCEDIMENTOS GERAIS,,,
,,,,,,,,,,ACOMPANHAMENTO DE PACIENTES,,,,
,,,,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU",,,,
,01/08/2022,SESSÃO COM TERAPEUTA OCUPACIONAL 541/2022,,Ambulatorial,,REF,,,,,PROCEDIMENTOS GERAIS PROCEDIMENTOS GERAIS,,,
,,,,,,,,,,ACOMPANHAMENTO DE PACIENTES,,,,
,,"TRANSPORTE EXTRA-HOSPITALAR DE PACIENTES GRAVES COM ACOMPANHAMENTO MÉDICO, DO",,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU",,,,
,,,,HCO,HSO,REF,,,,,PROCEDIMENTOS GERAIS PROCEDIMENTOS GERAIS,,,
,,ESTABELECIMENTO HOSPITALAR DE ORIGEM PARA OUTRO ESTABELECIMENTO DE SAÚDE,,,,,,,,ACOMPANHAMENTO DE PACIENTES,,,,
,,,,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU",,,,
,,VISITA HOSPITALAR,,HCO,HSO,REF,,,,,PROCEDIMENTOS GERAIS PROCEDIMENTOS GERAIS,,,
,,,,,,,,,,ACOMPANHAMENTO DE PACIENTES,,,,
,,,,,,,,,,,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS PROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,
,,ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE DE CÓRNEA,,HCO,HSO,REF,,,,AVALIAÇÕES/ACOMPANHAMENTOS,,,,
,,,,,,,,,,,E HOSPITALARES E HOSPITALARES,,,
,,,,,,,,,,,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS PROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,
,,ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE DE MEDULA ÓSSEA,,HCO,HSO,REF,,,,AVALIAÇÕES/ACOMPANHAMENTOS,,,,
,,,,,,,,,,,E HOSPITALARES E HOSPITALARES,,,
,,,,,,,,,,,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS PROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,
,03/10/2022,ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE HEPÁTICO 546/2022,,HCO,HSO,REF,,,,AVALIAÇÕES/ACOMPANHAMENTOS,,,,
,,,,,,,,,,,E HOSPITALARES E HOSPITALARES,,,
,,,,,,,,,,,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS PROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,
,,ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE RENAL,,HCO,HSO,REF,,,,AVALIAÇÕES/ACOMPANHAMENTOS,,,,
,,,,,,,,,,,E HOSPITALARES E HOSPITALARES,,,
,,ACOMPANHAMENTO CLÍNICO DE TRANSPLANTE HEPÁTICO NO PERÍODO DE INTERNAÇÃO DO RECEPTOR E,,,,,,,,,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS PROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,
,03/10/2022,546/2022,,HCO,HSO,REF,PAC,,,AVALIAÇÕES/ACOMPANHAMENTOS,,,,
,,DO DOADOR,,,,,,,,,E HOSPITALARES E HOSPITALARES,,,
,,ACOMPANHAMENTO CLÍNICO DE TRANSPLANTE RENAL NO PERÍODO DE INTERNAÇÃO DO RECEPTOR E DO,,,,,,,,,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS PROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,
,,,,HCO,HSO,REF,PAC,,,AVALIAÇÕES/ACOMPANHAMENTOS,,,,
,,DOADOR,,,,,,,,,E HOSPITALARES E HOSPITALARES,,,
,,,,,,,,,,,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS PROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,
,,AVALIAÇÃO CLÍNICA DIARIA ENTERAL E/OU PARENTERAL,,HCO,HSO,REF,,,,AVALIAÇÕES/ACOMPANHAMENTOS,,,,
,,,,,,,,,,,E HOSPITALARES E HOSPITALARES,,,
,,AVALIAÇÃO CLÍNICA E ELETRÔNICA DE PACIENTE PORTADOR DE DISPOSITIVO CARDÍACO ELETRÔNICO,,,,,,,,,,,,
,,,,,,,,,,,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS PROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,
,,"IMPLANTÁVEL (MARCA-PASSO, ESTIMULADOR MULTISSÍTIO/RESSINCRONIZADOR, DESFIBRILADOR OU",,AMB HCO,HSO,REF,,,,AVALIAÇÕES/ACOMPANHAMENTOS,,,,
,,,,,,,,,,,E HOSPITALARES E HOSPITALARES,,,
,,MONITOR DE EVENTOS),,,,,,,,,,,,
,,,,,,,,,,,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS PROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,
,,CARDIOVERSÃO ELÉTRICA COM ELETROCARDIOGRAMA,,AMB HCO,HSO,REF,,,,AVALIAÇÕES/ACOMPANHAMENTOS,,,,
,,,,,,,,,,,E HOSPITALARES E HOSPITALARES,,,
,,,,,,,,,,,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS PROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,
,,CONTROLE DE BIOFILME DENTAL (PLACA BACTERIANA),Odontológico,,,,,,,AVALIAÇÕES/ACOMPANHAMENTOS,,,,
,,,,,,,,,,,E HOSPITALARES E HOSPITALARES,,,
,,"FORNECIMENTO DE EQUIPAMENTOS COLETORES  E ADJUVANTES PARA COLOSTOMIA, ILEOSTOMIA E",,,,,,,,,,,,
,,,,,,,,,,,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS PROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,
,,"UROSTOMIA, SONDA VESICAL DE DEMORA E COLETOR DE URINA (COM PROTOCOLO DE UTILIZAÇÃO -",,AMB HCO,HSO,REF,,,,AVALIAÇÕES/ACOMPANHAMENTOS,,,,
,,,,,,,,,,,E HOSPITALARES E HOSPITALARES,,,
,,PROUT),,,,,,,,,,,,
,,Legenda:,,HCO: Seg. Hospitalar Com Obstetrícia,,,,,,,PAC: Procedimento de Alta Complexidade,,,
,,OD: Seg. Odontológica,,HSO: Seg. Hospitalar Sem Obstetrícia,,,,,,,DUT: Diretriz de Utilização,,,
,,AMB: Seg. Ambulatorial,,REF: Plano Referência,,,,,,,2,,,
,,"(RN 465/2021, vigente a partir de 01/04/2021, e suas alterações)",,,,,,,,,,,,
,,RN,,,,,,,,,,,,
,VIGÊNCIA,PROCEDIMENTO,Odontológico,AMB HCO,HSO,REF,PAC,DUT,,SUBGRUPO,GRUPO CAPÍTULO,,,
,,(alteração),,,,,,,,,,,,
,,,,,,,,,,,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS PROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,
,,PROFILAXIA: POLIMENTO CORONÁRIO,Odontológico,,,,,,,AVALIAÇÕES/ACOMPANHAMENTOS,,,,
,,,,,,,,,,,E HOSPITALARES E HOSPITALARES,,,
,,,,,,,,,,,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS PROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,
,,TERAPIA ANTINEOPLÁSICA ORAL PARA TRATAMENTO DO CÂNCER (COM DIRETRIZ DE UTILIZAÇÃO),,AMB HCO,HSO,REF,PAC,,64.0,AVALIAÇÕES/ACOMPANHAMENTOS,,,,
,,,,,,,,,,,E HOSPITALARES E HOSPITALARES,,,
,,,,,,,,,,,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS PROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,
,06/05/2022,TESTE DE PROVOCAÇÃO ORAL COM ALIMENTOS (COM DIRETRIZ DE UTILIZAÇÃO) 536/2022,,AMB HCO,HSO,REF,,152,,AVALIAÇÕES/ACOMPANHAMENTOS,,,,
,,,,,,,,,,,E HOSPITALARES E HOSPITALARES,,,
,,MEDICAMENTOS PARA O CONTROLE DE EFEITOS ADVERSOS E ADJUVANTES RELACIONADOS A,,,,,,,,,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS PROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,
,,,,Ambulatorial,,REF,PAC,,54.0,AVALIAÇÕES/ACOMPANHAMENTOS,,,,
,,TRATAMENTOS ANTINEOPLÁSICOS (COM DIRETRIZ DE UTILIZAÇÃO),,,,,,,,,E HOSPITALARES E HOSPITALARES,,,
,,,,,,,,,,,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS PROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,
,,CARDIOTOCOGRAFIA,,AMB HCO,HSO,REF,,,,MONITORIZAÇÕES,,,,
,,,,,,,,,,,E HOSPITALARES E HOSPITALARES,,,
,,,,,,,,,,,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS PROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,
,,HOLTER DE 24 HORAS - 2 OU MAIS CANAIS - ANALÓGICO OU DIGITAL,,Ambulatorial,,REF,,,,MONITORIZAÇÕES,,,,
,,,,,,,,,,,E HOSPITALARES E HOSPITALARES,,,
,,,,,,,,,,,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS PROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,
,,MONITORIZAÇÃO AMBULATORIAL DA PRESSÃO ARTERIAL - MAPA (24 HORAS) - COM DIRETRIZ DE UTILIZAÇÃO,,Ambulatorial,,REF,,,56.0,MONITORIZAÇÕES,,,,
,,,,,,,,,,,E HOSPITALARES E HOSPITALARES,,,
,,MONITORIZAÇÃO AMBULATORIAL DA PRESSÃO ARTERIAL DE 5 DIAS - MAPA 5 DIAS (MONITORIZAÇÃO,,,,,,,,,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS PROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,
,12/072023,581/2023,,Ambulatorial,,REF,,162,,MONITORIZAÇÕES,,,,
,,RESIDENCIAL DA PRESSÃO ARTERIAL - MRPA) - COM DIRETRIZ DE UTILIZAÇÂO,,,,,,,,,E HOSPITALARES E HOSPITALARES,,,
,,,,,,,,,,,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS PROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,
,,MONITORIZAÇÃO DA PRESSÃO INTRACRANIANA,,HCO,HSO,REF,,,,MONITORIZAÇÕES,,,,
,,,,,,,,,,,E HOSPITALARES E HOSPITALARES,,,
,,,,,,,,,,,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS PROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,
,,MONITORIZAÇÃO HEMODINÂMICA INVASIVA OU NÃO INVASIVA,,HCO,HSO,REF,,,,MONITORIZAÇÕES,,,,
,,,,,,,,,,,E HOSPITALARES E HOSPITALARES,,,
,,,,,,,,,,,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS PROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,
,,MONITORIZAÇÃO NEUROFISIOLÓGICA INTRA-OPERATÓRIA,,HCO,HSO,REF,,,,MONITORIZAÇÕES,,,,
,,,,,,,,,,,E HOSPITALARES E HOSPITALARES,,,
,,,,,,,,,,,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS PROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,
,,POTENCIAL EVOCADO INTRA-OPERATÓRIO - MONITORIZAÇÃO CIRÚRGICA (PE/IO),,HCO,HSO,REF,,,,MONITORIZAÇÕES,,,,
,,,,,,,,,,,E HOSPITALARES E HOSPITALARES,,,
,,,,,,,,,,,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS PROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,
,,TESTE DE INCLINAÇÃO ORTOSTÁTICA (TILT TEST) - COM DIRETRIZ DE UTILIZAÇÃO,,AMB HCO,HSO,REF,PAC,,67.0,MONITORIZAÇÕES,,,,
,,,,,,,,,,,E HOSPITALARES E HOSPITALARES,,,
,,,,,,,,,,,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS PROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,
,,ADAPTAÇÃO E TREINAMENTO DE RECURSOS ÓPTICOS,,Ambulatorial,,REF,,,,REABILITAÇÃO,,,,
,,,,,,,,,,,E HOSPITALARES E HOSPITALARES,,,
,,,,,,,,,,,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS PROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,
,,AMPUTAÇÃO (PREPARAÇÃO DO COTO E TREINAMENTO PROTÉTICO),,AMB HCO,HSO,REF,,,,REABILITAÇÃO,,,,
,,,,,,,,,,,E HOSPITALARES E HOSPITALARES,,,
,,,,,,,,,,,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS PROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,
,,BIOFEEDBACK COM EMG,,AMB HCO,HSO,REF,,,,REABILITAÇÃO,,,,
,,,,,,,,,,,E HOSPITALARES E HOSPITALARES,,,
,,,,,,,,,,,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS PROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,
,,EXERCÍCIOS DE ORTÓPTICA,,Ambulatorial,,REF,,,,REABILITAÇÃO,,,,
,,,,,,,,,,,E HOSPITALARES E HOSPITALARES,,,
,,,,,,,,,,,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS PROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,
,,INFILTRAÇÃO DE PONTO GATILHO OU AGULHAMENTO SECO,,AMB HCO,HSO,REF,,,,REABILITAÇÃO,,,,
,,,,,,,,,,,E HOSPITALARES E HOSPITALARES,,,
,,,,,,,,,,,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS PROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,
,,REABILITACAO E REEDUCACAO DE SEQÜELAS EM TRAUMATISMOS E POLITRAUMATIZADOS,,AMB HCO,HSO,REF,,,,REABILITAÇÃO,,,,
,,,,,,,,,,,E HOSPITALARES E HOSPITALARES,,,
,,Legenda:,,HCO: Seg. Hospitalar Com Obstetrícia,,,,,,,PAC: Procedimento de Alta Complexidade,,,
,,OD: Seg. Odontológica,,HSO: Seg. Hospitalar Sem Obstetrícia,,,,,,,DUT: Diretriz de Utilização,,,
,,AMB: Seg. Ambulatorial,,REF: Plano Referência,,,,,,,3,,,
,,"(RN 465/2021, vigente a partir de 01/04/2021, e suas alterações)",,,,,,,,,,,,
,,RN,,,,,,,,,,,,
,VIGÊNCIA,PROCEDIMENTO,Odontológico,AMB HCO,HSO,REF,PAC,DUT,,,SUBGRUPO,GRUPO CAPÍTULO,,
,,(alteração),,,,,,,,,,,,
,,,,,,,,,,,,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS PROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,
,,REABILITAÇÃO LABIRÍNTICA,,AMB HCO,HSO,REF,,,,REABILITAÇÃO,,,,
,,,,,,,,,,,,E HOSPITALARES E HOSPITALARES,,
,,,,,,,,,,,,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS PROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,
,,REABILITAÇÃO PERINEAL/VESICO-URETRAL COM OU SEM BIOFEEDBACK,,AMB HCO,HSO,REF,,,,REABILITAÇÃO,,,,
,,,,,,,,,,,,E HOSPITALARES E HOSPITALARES,,
,,,,,,,,,,,,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS PROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,
,,REEDUACAÇÃO E REABILITAÇÃO DE QUEIMADOS PARA PREVENÇÃO DE SEQUELAS,,AMB HCO,HSO,REF,,,,REABILITAÇÃO,,,,
,,,,,,,,,,,,E HOSPITALARES E HOSPITALARES,,
,,,,,,,,,,,,PROCEDIMENTOS CLÍNICOS AMBULATORIAIS PROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,
